Order	Family	Genus	Species	Binomial	Traits table filled by	body_mass	data_source_body_mass	comment_body_mass	gut_type	data_source_gut_type	comments_gut_type	group_size_summer	data_source_group_size_summer	comments_group_size_summer	group_size_winter	data_source_group_size_winter	comment_group_size_winter	Litter_clutch_size	data_source_litter_clutch_size	comment_litter_clutch_size	Population_dynamics	data_source_population_dynamics	comment_population_dynamics	Habitat_type	data_source_habitat_type	comment_habitat_type	Belowground_feeding	data_source_belowground_feeding	comment_below_ground_feeding	Mobility	data_source_mobility	comment_mobility	Human_managed	data_source_human_managed	comment_human_managed	Diet_type	data_source_diet_type	comment_diet_type	diet_item_forb	data_source_diet_item_forb	comment_diet_item_forb	diet_item_graminoid	data_source_diet_item_graminoid	comment_diet_item_graminoid	diet_item_shrub	data_source_diet_item_shrub	comment_diet_item_shrub	diet_item_moss	data_source_diet_item_moss	comment_diet_item_moss	diet_item_lichen	data_source_diet_item_lichen	comment_diet_item_lichen	wintering_strategy	data_source_wintering_strategy	comment_wintering_strategy
Rodentia	Cricetidae	Microtus	pennsylvanicus	Microtus pennsylvanicus	Eeva Soininen	36.75	EltonTraits		hindgut_fermenter	expert (3)	assumed as small rodent	solitary	"Reich, L. M. (1981). Microtus pennsylvanicus. Mammalian species, (159), 1-8."		solitary	"Reich, L. M. (1981). Microtus pennsylvanicus. Mammalian species, (159), 1-8."		5.16	PanTHERIA		cyclic	"Reich, L. M. (1981). Microtus pennsylvanicus. Mammalian species, (159), 1-8."		terrestrial			burrowing	expert (1)		no	expert (3)	assumed based on general small rodent ecology	none			obligatory_generalist	"Lindroth, R. L., & Batzli, G. O. (1984). Food habits of the meadow vole (Microtus pennsylvanicus) in bluegrass and prairie habitats. Journal of Mammalogy, 65(4), 600-606."		2	"Lindroth, R. L., & Batzli, G. O. (1984). Food habits of the meadow vole (Microtus pennsylvanicus) in bluegrass and prairie habitats. Journal of Mammalogy, 65(4), 600-606."		2	"Lindroth, R. L., & Batzli, G. O. (1984). Food habits of the meadow vole (Microtus pennsylvanicus) in bluegrass and prairie habitats. Journal of Mammalogy, 65(4), 600-606."		1	"Lindroth, R. L., & Batzli, G. O. (1984). Food habits of the meadow vole (Microtus pennsylvanicus) in bluegrass and prairie habitats. Journal of Mammalogy, 65(4), 600-606., Bergeron, J. M., & Jodoin, L. (1987). Defining “high quality” food resources of herbivores: the case for meadow voles (Microtus pennsylvanicus). Oecologia, 71(4), 510-517.; Ostfeld, R. S. and Canham, C. D. 1993. Effects of meadow vole population density on tree seedling survival in old fields. Ecology 74: 1792-1801."		0	"Lindroth, R. L., & Batzli, G. O. (1984). Food habits of the meadow vole (Microtus pennsylvanicus) in bluegrass and prairie habitats. Journal of Mammalogy, 65(4), 600-606., Bergeron, J. M., & Jodoin, L. (1987). Defining “high quality” food resources of herbivores: the case for meadow voles (Microtus pennsylvanicus). Oecologia, 71(4), 510-517."		0	"Lindroth, R. L., & Batzli, G. O. (1984). Food habits of the meadow vole (Microtus pennsylvanicus) in bluegrass and prairie habitats. Journal of Mammalogy, 65(4), 600-606., Bergeron, J. M., & Jodoin, L. (1987). Defining “high quality” food resources of herbivores: the case for meadow voles (Microtus pennsylvanicus). Oecologia, 71(4), 510-517."		active_below_snow	"Reich, L. M. (1981). Microtus pennsylvanicus. Mammalian species, (159), 1-8."	assumed based on general small rodent ecology
Rodentia	Cricetidae	Microtus	longicaudus	Microtus longicaudus	Eeva Soininen	46.71	EltonTraits		hindgut_fermenter	expert (3)	assumed as small rodent	solitary	"Smolen, M. J., & Keller, B. L. (1987). Microtus longicaudus. Mammalian Species, (271), 1-7."	nothing else mentioned	solitary	"Smolen, M. J., & Keller, B. L. (1987). Microtus longicaudus. Mammalian Species, (271), 1-7."	nothing else mentioned	4.73	PanTHERIA		cyclic	expert (2)		terrestrial	"Cassola, F. 2016. Microtus longicaudus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T42627A115196586. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T42627A22348744.en. Downloaded on 21 September 2017."		burrowing	expert (1)		no	expert (3)	assumed based on general small rodent ecology	none			obligatory_generalist	"Smolen, M. J., & Keller, B. L. (1987). Microtus longicaudus. Mammalian Species, (271), 1-7."		2	"Smolen, M. J., & Keller, B. L. (1987). Microtus longicaudus. Mammalian Species, (271), 1-7."		1	"Smolen, M. J., & Keller, B. L. (1987). Microtus longicaudus. Mammalian Species, (271), 1-7."		1	"Smolen, M. J., & Keller, B. L. (1987). Microtus longicaudus. Mammalian Species, (271), 1-7."		0	"Smolen, M. J., & Keller, B. L. (1987). Microtus longicaudus. Mammalian Species, (271), 1-7."		0	"Smolen, M. J., & Keller, B. L. (1987). Microtus longicaudus. Mammalian Species, (271), 1-7."		active_below_snow	"Cassola, F. 2016. Microtus longicaudus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T42627A115196586. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T42627A22348744.en. Downloaded on 21 September 2017."	assumed based on general small rodent ecology
Rodentia	Cricetidae	Microtus	chrotorrhinus	Microtus chrotorrhinus	Eeva Soininen	39.00	EltonTraits		hindgut_fermenter	expert (3)	assumed as small rodent	solitary			solitary			3.58	PanTHERIA		noncyclic	expert (1)	found no data source where it would be descxribed cyclic. But little long term population surveys exist?	terrestrial			burrowing	expert (1)	assumed	no	expert (3)	assumed based on general small rodent ecology	none			obligatory_generalist	"Kirkland, G. L., & Jannett, F. J. (1982). Microtus chrotorrhinus. Mammalian species, (18"		2	"Kirkland, G. L., & Jannett, F. J. (1982). Microtus chrotorrhinus. Mammalian species, (18"		1	"Kirkland, G. L., & Jannett, F. J. (1982). Microtus chrotorrhinus. Mammalian species, (18"		2	"Kirkland, G. L., & Jannett, F. J. (1982). Microtus chrotorrhinus. Mammalian species, (18"		1	"Kirkland, G. L., & Jannett, F. J. (1982). Microtus chrotorrhinus. Mammalian species, (18"		0	"Kirkland, G. L., & Jannett, F. J. (1982). Microtus chrotorrhinus. Mammalian species, (18"		active_below_snow	"Cassola, F. 2016. Microtus chrotorrhinus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T42626A115196387. Downloaded on 22 September 2017."	
Rodentia	Cricetidae	Microtus	xanthognathus	Microtus xanthognathus	Eeva Soininen	125.75	EltonTraits		hindgut_fermenter	expert (3)	assumed as small rodent	solitary			solitary			8.1	PanTHERIA		noncyclic	expert (1)	"uncertain; Conroy, C. J., & Cook, J. A. (1999). Microtus xanthognathus. Mammalian Species, (627), 1-5."	terrestrial			burrowing	expert (1)	assumed	no	expert (3)	assumed based on general small rodent ecology	none			obligatory_generalist	"Conroy, C. J., & Cook, J. A. (1999). Microtus xanthognathus. Mammalian Species, (627), 1-5."		2	"Conroy, C. J., & Cook, J. A. (1999). Microtus xanthognathus. Mammalian Species, (627), 1-5."		3	"Conroy, C. J., & Cook, J. A. (1999). Microtus xanthognathus. Mammalian Species, (627), 1-5."		1	"Conroy, C. J., & Cook, J. A. (1999). Microtus xanthognathus. Mammalian Species, (627), 1-5."		0	"Conroy, C. J., & Cook, J. A. (1999). Microtus xanthognathus. Mammalian Species, (627), 1-5."		1	"Conroy, C. J., & Cook, J. A. (1999). Microtus xanthognathus. Mammalian Species, (627), 1-5."		active_below_snow		
Rodentia	Muridae	Microtus	hyperboreus	Microtus hyperboreus	Nicolas Lecomte	36.00	"Haring, E. et al. (2011) "	based on closed species	hindgut_fermenter	"Schwartz, Pyastolova,1971"		solitary	"Dunaeva, 1948"		solitary	"Dunaeva, 1948"	originally recorded solitary or family group	5.49	PanTHERIA		cyclic	"Sokolova et al, 2014"		terrestrial	"Dunaeva, 1948; Sokolova, 2004; Sokolova et al, 2014"		burrowing	"Dunaeva, 1948; Schwartz, Pyastolova,1971"		no	expert (3)	assumed based on general small rodent ecology	none			facultative_generalist	"Dunaeva, Kucheruk, 1941"		2	"Dunaeva, Kucheruk, 1941b"		3	"Dunaeva, Kucheruk, 1941b"		2	"Dunaeva, Kucheruk, 1941b"		0	"Dunaeva, Kucheruk, 1941b"		0	"Dunaeva, Kucheruk, 1941b"		active_below_snow	"Dunaeva, 1948"	
Rodentia	Cricetidae	Myodes	gapperi	Myodes gapperi	Eeva Soininen	19.83	EltonTraits		hindgut_fermenter			solitary	"Merritt, J. F. (1981). Clethrionomys gapperi. Mammalian species, (146), 1-9."		solitary	"Merritt, J. F. (1981). Clethrionomys gapperi. Mammalian species, (146), 1-9."		5.37	PanTHERIA		noncyclic	"Merritt, J. F. (1981). Clethrionomys gapperi. Mammalian species, (146), 1-9."		terrestrial	"Merritt, J. F. (1981). Clethrionomys gapperi. Mammalian species, (146), 1-9."		burrowing	expert (1)	assumed	no	expert (3)	assumed based on general small rodent ecology	none			facultative_generalist	"Merritt, J. F. (1981). Clethrionomys gapperi. Mammalian species, (146), 1-9."	"fungi, seeds, animals important"	1	"Merritt, J. F. (1981). Clethrionomys gapperi. Mammalian species, (146), 1-9."	Eeva guessing	1	"Merritt, J. F. (1981). Clethrionomys gapperi. Mammalian species, (146), 1-9."		2	"Merritt, J. F. (1981). Clethrionomys gapperi. Mammalian species, (146), 1-9."		1	"Merritt, J. F. (1981). Clethrionomys gapperi. Mammalian species, (146), 1-9."		1	"Merritt, J. F. (1981). Clethrionomys gapperi. Mammalian species, (146), 1-9."		active_below_snow	"Merritt, J. F. (1981). Clethrionomys gapperi. Mammalian species, (146), 1-9."	
Rodentia	Cricetidae	Myodes	rutilus	Myodes rutilus	Katrine Hoset	19.94	EltonTraits		hindgut_fermenter			solitary	West 1977		family_group	West 1977		5.6	PanTHERIA		cyclic_noncyclic	Boonstra and Krebs 2012		terrestrial			none			no	expert (3)		none			facultative_generalist	"Bangs 1984, Boonstra and Krebs 2012"		1	"Bangs 1984, Boonstra and Krebs 2012"		1	"Bangs 1984, Boonstra and Krebs 2012"		2	"Bangs 1984, Boonstra and Krebs 2012"		1	Bangs 1984		2	"Bangs 1984, Boonstra and Krebs 2012"		active_below_snow		
Rodentia	Cricetidae	Myodes	rufocanus	Myodes rufocanus	Eeva Soininen	36.43	EltonTraits		hindgut_fermenter	expert (3)		solitary	Ims 1989		solitary	expert (2)		5.01	PanTHERIA		cyclic	Kaneko et al 1998	Kaneko et al 1998: noncyclic populations in Hokkaido - that is outside our study area so I leave cyclic here	terrestrial	expert (3)		burrowing	expert (3)		no	expert (3)		none	expert (3)		obligatory_generalist	Soininen 2012 and references therein	reviewed in the introduction	3	Soininen 2012 and references therein	reviewed in the introduction	3	Soininen 2012 and references therein	reviewed in the introduction	3	Soininen 2012 and references therein	reviewed in the introduction	1	Soininen 2012 and references therein	reviewed in the introduction	0	Soininen 2012 and references therein	No studies seem to have found lichens - but at least some methods (like metabarcoding) could easily oversee them unless one particularly searches for them	active_below_snow	expert (3)	
Rodentia	Dipodidae	Sicista	betulina	Sicista betulina	Natasha Sokolova	8.00	EltonTraits		hindgut_fermenter			solitary			solitary			5.15	"Ivanter, 1975"		noncyclic	"Ivanter, 1975"		terrestrial	"Ivanter, 1975"		none	"Ivanter, 1975"		no	expert (3)		none			obligatory_generalist	"Ivanter, 1975"	"but a very important resource - animal food (insects, earthworms). Occurrence in the stomachs 90%"	3	"Marvin, 1969; Ivanter, 1975"		3	"Marvin, 1969; Ivanter, 1975"		3	"Marvin, 1969; Ivanter, 1975"		0	"Marvin, 1969; Ivanter, 1975"		0	"Marvin, 1969; Ivanter, 1975"		not_present	"Ivanter, 1975"	
Rodentia	Muridae	Apodemus	sylvaticus	Apodemus sylvaticus	Nicolas Lecomte	30.45	EltonTraits		hindgut_fermenter			solitary			solitary			5.16	PanTHERIA		noncyclic	"Rogers, L. M. and Gorman, M. L. (1995), The population dynamics of small mammals living in set-aside and surrounding semi-natural and crop land. Journal of Zoology, 236: 451–464. doi:10.1111/j.1469-7998.1995.tb02724.x"		terrestrial	"Attuquayefio, D. K., Gorman, M. L. and Wolton, R. J. (1986), Home range sizes in the Wood mouse Apodemus sylvaticus: habitat, sex and seasonal differences. Journal of Zoology, 210: 45–53. doi:10.1111/j.1469-7998.1986.tb03619.x"		burrowing	"Jennings, T. J. (1975), Notes on the burrow systems of Woodmice (Apodemus sylvaticus). Journal of Zoology, 177: 500–504. doi:10.1111/j.1469-7998.1975.tb02253.x"		no	"Montgomery, W. I. , W. L. Wilson , R. Hamilton , and P. McCartney . 1991. Dispersion in the wood mouse, Apodemus sylvaticus: variable resources in time and space. Journal of Animal Ecology 60: 179–192. "	small scale dispersal	trapping		often trapped	obligatory_generalist	"Fedriani, J. M. (2005). ""Do frugivorous mice choose where or what to feed?"". Journal of Mammalogy. 86: 576–586.  Montgomery, S. S. J. and Montgomery, W. I. (1990), Intrapopulation variation in the diet of the wood mouse Apodemus sylvaticus. Journal of Zoology, 222: 641–651. doi:10.1111/j.1469-7998.1990.tb06020.x"	primarly seed eater but eat also a lot of mushrooms.	2	"Montgomery, S. S. J. and Montgomery, W. I. (1990), Intrapopulation variation in the diet of the wood mouse Apodemus sylvaticus. Journal of Zoology, 222: 641–651. doi:10.1111/j.1469-7998.1990.tb06020.x"		3	"Montgomery, S. S. J. and Montgomery, W. I. (1990), Intrapopulation variation in the diet of the wood mouse Apodemus sylvaticus. Journal of Zoology, 222: 641–651. doi:10.1111/j.1469-7998.1990.tb06020.x"		3	"Montgomery, S. S. J. and Montgomery, W. I. (1990), Intrapopulation variation in the diet of the wood mouse Apodemus sylvaticus. Journal of Zoology, 222: 641–651. doi:10.1111/j.1469-7998.1990.tb06020.x"		0	"Montgomery, S. S. J. and Montgomery, W. I. (1990), Intrapopulation variation in the diet of the wood mouse Apodemus sylvaticus. Journal of Zoology, 222: 641–651. doi:10.1111/j.1469-7998.1990.tb06020.x"		0	"Montgomery, S. S. J. and Montgomery, W. I. (1990), Intrapopulation variation in the diet of the wood mouse Apodemus sylvaticus. Journal of Zoology, 222: 641–651. doi:10.1111/j.1469-7998.1990.tb06020.x"		active_below_snow		
Rodentia	Sciuridae	Urocitellus	parryii	Urocitellus parryii	Isabel Barrio	759.99	EltonTraits	Mammals of NA: Range: 530-816 g	hindgut_fermenter	expert (3)	"by definition, because they are rodents, right? "	large_group		IUCN RedList: they occur in colonies that can be locally abundant	family_group	expert (2)	"not active during winter (hibernating), so this should be set to zero :)"	6.5	PanTHERIA	"IUCN RedList: 6-8, up to 14"	noncyclic	expert (1)		terrestrial	expert (3)		burrowing	expert (1)	"they dig burrows but I am not sure to which extent they consume belowground stuff; they do certainly damage roots while digging, and also cache vegetation belowground"	no	expert (1)		none	IUCN RedList		facultative_generalist	expert (1)	"IUCN RedList: Omnivorous. In spring, mainly feed on animals. Later feed on berries, mushrooms, lichens, mosses and other plants. Stores nuts and dry grass for winter. Mammals of North America: Arctic Ground Squirrels feed on a variety of plants, berries, seeds, and leaves, insects, and carrion."	3	expert (1)		3	expert (1)		2	expert (1)		1	expert (1)		1	expert (1)		not_present	expert (2)	"they are generally attached to their warrens and may move locally from their hibernacula to summer burrows… but not migrating. I do level of certainty 2, just in case"
Rodentia	Sciuridae	Marmota	broweri	Marmota broweri	Isabel Barrio	3405.00	EltonTraits	"Mammals of NA: Average: 3.6 kg males; 3.2 kg females 
Range: 3-4 kg males; 2.5-3.5 kg females"	hindgut_fermenter	expert (3)		large_group	Hubbert 2011 Journal of Biology and Life Sciences	"Marmota broweri is a social species and can live in colonies of up to 50 animals (Hubbart, 2011). [Mammals of NA: The marmots live in small population clusters close to productive plant-foraging areas.]"	family_group	expert (2)	"not active during winter (hibernating), so this should be set to zero :)"	4.5	IUCN RedList	"IUCN RedList: A litter of 4-5 is born late spring to early summer. Range 3-8, average 4-5 (Hubbart, 20110"	noncyclic	expert (1)	"'extrapolated' from knowledge on other marmots living in similar conditions…. Population numbers may fluctuate between years following climatic trends (e.g. PDO) but not as regularly as ""cyclic rodents"""	terrestrial	expert (3)		burrowing	expert (1)	"they dig burrows but I am not sure to which extent they consume belowground stuff; they do certainly damage roots while digging, and also cache vegetation belowground"	no	expert (1)		none	IUCN RedList		facultative_generalist	expert (1)	IUCN RedList: It eats grasses and other green plants; omnivorous species (Hubbart 2011); based on knowledge from other marmots really	3	expert (1)	based on the very poor description of diet in the references…. They say they mostly eat forbs and grasses. Makes sense based on other marmot species	3	expert (1)	based on the very poor description of diet in the references…. They say they mostly eat forbs and grasses. Makes sense based on other marmot species	1	expert (1)	"not cited in the diet descriptions, but it is possible that they eat some shrubs? Definitively not the main food item."	1	expert (1)	"not cited in diet descriptions, but from M. caligata it could be that they eat mosses and lichens"	1	expert (1)	"not cited in diet descriptions, but from M. caligata it could be that they eat mosses and lichens"	not_present	expert (2)	
Rodentia	Sciuridae	Marmota	camtschatica	Marmota camtschatica	Isabel Barrio	3500.00	EltonTraits	"variable between populations, average weights range between 2 and 4.5 kg"	hindgut_fermenter	expert (3)		large_group	IUCN RedList	IUCN RedList: Lives in colonies with many burrows. Two - three families (20-30 animals) hibernate together. 	family_group	expert (2)	"not active during winter (hibernating), so this should be set to zero :)"	4.99	PanTHERIA	IUCN RedList: Litter size is 3-11 young.	noncyclic	expert (1)		terrestrial	expert (3)		burrowing	expert (1)	"they dig burrows but I am not sure to which extent they consume belowground stuff; they do certainly damage roots while digging, and also cache vegetation belowground"	no	expert (1)		none	IUCN RedList		facultative_generalist	expert (1)	"IUCN RedList: Feed on a wide variety of plants, and also consumes invertebrates. "	3	expert (1)		3	expert (1)		1	expert (1)	"not cited in the diet descriptions, but it is possible that they eat some shrubs? Definitively not the main food item."	1	expert (1)	"not cited in diet descriptions, but from M. caligata it could be that they eat mosses and lichens"	1	expert (1)	"not cited in diet descriptions, but from M. caligata it could be that they eat mosses and lichens"	not_present	expert (2)	
Rodentia	Sciuridae	Marmota	monax	Marmota monax	Isabel Barrio	3801.72	EltonTraits	Mammals of NA: Range: 3-4 kg	hindgut_fermenter	expert (3)		solitary	Kwiecinski 1998	"Mammals of NA: Socially, Woodchucks live singly from the time they are weaned at six weeks of age. IUCN RedList: Reported densities are highly variable, ranging from 0.1/hectare in Quebec to 3.3./hectare in Ohio (Kwiecinski 1998). However, populations are loosely structured because burrow systems are not spatially clustered and animals are asocial and territorial."	family_group	expert (2)	"not active during winter (hibernating), so this should be set to zero :)"	4.1	PanTHERIA		noncyclic	expert (1)		terrestrial	expert (3)		burrowing	expert (1)	"they dig burrows but I am not sure to which extent they consume belowground stuff; they do certainly damage roots while digging, and also cache vegetation belowground"	no	expert (1)		none	IUCN RedList		facultative_generalist	expert (1)	"Mammals of NA: They are diurnal vegetarians, consuming clover, dandelion, chickweed, alfalfa, sorrel, beans, peas, grains, grasses, and other plants. IUCN RedList: Diet includes a wide variety of herbs, grasses, and the leaves of shrubs; also invertebrates."	3	expert (1)	"I have not found information about diet in northern populations, but based on descriptions from woodchucks from the south I guess this makes sense"	3	expert (1)	"I have not found information about diet in northern populations, but based on descriptions from woodchucks from the south I guess this makes sense"	2	expert (1)	so funny! Apparently they also climb trees :D	1	expert (1)	"not cited in diet descriptions, but most studies come from southern areas where mosses and lichens might not be as relevant, so here I would give them a 1 because thery are quite generalist feeders, and based on other species of marmots living up North..."	1	expert (1)	"not cited in diet descriptions, but most studies come from southern areas where mosses and lichens might not be as relevant, so here I would give them a 1 because thery are quite generalist feeders, and based on other species of marmots living up North..."	not_present	expert (2)	
Rodentia	Sciuridae	Marmota	caligata	Marmota caligata	Isabel Barrio	4900.00	"Braun, J.K. et al. (2011)"	Mammals of NA: Range: 5-6 kg; EltonTraits gave 7230.03 g -- too high? Prehibernation mass (when they are bigger) is 4900.00 g for females (summarized in Braun et al 2011 Mammalian Species)	hindgut_fermenter	expert (3)		large_group	Braun et al 2011	Braun et al 2011: colony size varies between 2-36 animals. Mammals of NA: They tend to be gregarious. Groups of 5-8 feed together. 	family_group	expert (2)	"not active during winter (hibernating), so this should be set to zero :)"	3.9	Barash 1989 in Braun et al 2011	Mammals of NA: females usually have a litter of 2-4 every other summer.	noncyclic	expert (1)		terrestrial	expert (3)		burrowing	expert (1)	"they dig burrows but I am not sure to which extent they consume belowground stuff; they do certainly damage roots while digging, and also cache vegetation belowground"	no	expert (1)		none	IUCN RedList		facultative_generalist	expert (1)	"Mammals of NA: They forage on forbs, grasses, and sedges. IUCN RedList: Diet consists almost entirely of grasses and other herbaceous plants (Burt and Grossenheider 1976). "	3	Braun et al 2011		3	Braun et al 2011		1	Braun et al 2011		1	Braun et al 2011		1	Braun et al 2011		not_present	expert (2)	seasonal movement (lower to higher elevations or following snowbeds) occurs in some colonies (Braun et al 2011)
Rodentia	Castoridae	Castor	canadensis	Castor canadensis	Nicolas Lecomte	21820.00	EltonTraits	range 11-26 kg Jenkins SH & Busher PE 1979 Castor canadensis. Mammalian species 120: 1-8	hindgut_fermenter	Jenkins SH & Busher PE 1979 Castor canadensis. Mammalian species 120: 1-8		small_group	Jenkins SH & Busher PE 1979 Castor canadensis. Mammalian species 120: 1-8	family group	small_group	Jenkins SH & Busher PE 1979 Castor canadensis. Mammalian species 120: 1-8	family group and solitary	3.6	PanTHERIA	range 3-4	noncyclic	Jenkins SH & Busher PE 1979 Castor canadensis. Mammalian species 120: 1-8		limnic	Jenkins SH & Busher PE 1979 Castor canadensis. Mammalian species 120: 1-8		none	Jenkins SH & Busher PE 1979 Castor canadensis. Mammalian species 120: 1-8		no	Jenkins SH & Busher PE 1979 Castor canadensis. Mammalian species 120: 1-8	small scale dispersal	trapping		often removed to protect infrastructures	obligatory_generalist	"Gallant D, Berube CH, Tremblay E, Vasseur L (2004) An extensive study of the foraging ecology of beavers (Castor canadensis) in relation to habitat quality. Can J Zool/Rev Can Zool 82:922–933"		1	"Gallant D, Berube CH, Tremblay E, Vasseur L (2004) An extensive study of the foraging ecology of beavers (Castor canadensis) in relation to habitat quality. Can J Zool/Rev Can Zool 82:922–933"		1	"Gallant D, Berube CH, Tremblay E, Vasseur L (2004) An extensive study of the foraging ecology of beavers (Castor canadensis) in relation to habitat quality. Can J Zool/Rev Can Zool 82:922–933"		3	"Gallant D, Berube CH, Tremblay E, Vasseur L (2004) An extensive study of the foraging ecology of beavers (Castor canadensis) in relation to habitat quality. Can J Zool/Rev Can Zool 82:922–933"	mostly wood	0	"Gallant D, Berube CH, Tremblay E, Vasseur L (2004) An extensive study of the foraging ecology of beavers (Castor canadensis) in relation to habitat quality. Can J Zool/Rev Can Zool 82:922–933"		0	"Gallant D, Berube CH, Tremblay E, Vasseur L (2004) An extensive study of the foraging ecology of beavers (Castor canadensis) in relation to habitat quality. Can J Zool/Rev Can Zool 82:922–933"		active_above_snow	Jenkins SH & Busher PE 1979 Castor canadensis. Mammalian species 120: 1-8	
Rodentia	Cricetidae	Ondatra	zibethicus	Ondatra zibethicus	Isabel Barrio	1065.75	EltonTraits	"Mammals of NA: Range: 680-1,800 g"	hindgut_fermenter	expert (3)		large_group	expert (1)	Tony Lynn Newell from Umich (http://animaldiversity.org/accounts/Ondatra_zibethicus/) -- could contact her and ask about muskrat in general? But then no account of sociability of the species is reported in Willner et al 1980 :(	family_group	expert (1)	"they do not hibernate, so I assume group size will be the same as summer"	6.55	PanTHERIA		cyclic	expert (1)	popuayion cycles *5-10 yrs) have been described; see refs in Willner et al 1980	limnic	IUCN RedList		burrowing	expert (1)	"some populations dig burrows (other construct conical houses of vegetation!) depending on the environment, but they dig feeding burrows in winter! Also, roots make up most of their diet, so I have put rhem as burrowing"	no	expert (1)		none	IUCN RedList		facultative_generalist	expert (1)	Willner et al 1980	2	expert (1)		3	expert (1)	most of diet for S populations is Typha spp. rhizomes	0	expert (1)		0	expert (1)		0	expert (1)		active_below_snow	expert (1)	"they disperse, but not truly migrate"
Rodentia	Erethizontidae	Erethizon	dorsatum	Erethizon dorsatum	Domnique Berteaux	7085.33	EltonTraits		hindgut_fermenter			solitary	"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Page 172."		solitary	"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Page 172."		1	PanTHERIA		cyclic_noncyclic	"Klvana, I., D. Berteaux, and B. Cazelles. 2004. Porcupine feeding scars and climatic data show ecosystem effects of the solar cycle. American Naturalist 164:283–297."		terrestrial			none	"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Page 172."		no	"Morin, P., D. Berteaux, and I. Klvana. 2005. Hierarchical habitat selection by North American porcupines in southern boreal forest. Canadian Journal of Zoology 83:1333–1342.
"		none			facultative_specialist	"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein."	I am very confident about this.	1	"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein."		1	"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein."		3	"Payette, S. 1987. Recent porcupine expansion at tree line: a dendroecological analysis. Canadian Journal of Zoology 65:551–557. AND Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein.
"	They also eat much tree bark at the tree line.	0	"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein."		0	"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein."		active_above_snow	"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapter 7."	
Lagomorpha	Ochotonidae	Ochotona	hyperborea	Ochotona hyperborea	Eeva Soininen/Isabel Barrio	120.00	EltonTraits		hindgut_fermenter			solitary	Handbook of the mammals of the world		solitary	Handbook of the mammals of the world		3.02	PanTHERIA		noncyclic	Handbook of the mammals of the world		terrestrial	Handbook of the mammals of the world		none	"Gliwicz, J., Pagacz, S., & Witczuk, J. (2006). Strategy of food plant selection in the Siberian northern pika, Ochotona hyperborea. Arctic, Antarctic, and Alpine Research, 38(1), 54-59."		no	Handbook of the mammals of the world		none			facultative_generalist	"Gliwicz, J., Pagacz, S., & Witczuk, J. (2006). Strategy of food plant selection in the Siberian northern pika, Ochotona hyperborea. Arctic, Antarctic, and Alpine Research, 38(1), 54-59."		2	"Gliwicz, J., Pagacz, S., & Witczuk, J. (2006). Strategy of food plant selection in the Siberian northern pika, Ochotona hyperborea. Arctic, Antarctic, and Alpine Research, 38(1), 54-59."		1	"Gliwicz, J., Pagacz, S., & Witczuk, J. (2006). Strategy of food plant selection in the Siberian northern pika, Ochotona hyperborea. Arctic, Antarctic, and Alpine Research, 38(1), 54-59."		2	"Gliwicz, J., Pagacz, S., & Witczuk, J. (2006). Strategy of food plant selection in the Siberian northern pika, Ochotona hyperborea. Arctic, Antarctic, and Alpine Research, 38(1), 54-59."		0	"Gliwicz, J., Pagacz, S., & Witczuk, J. (2006). Strategy of food plant selection in the Siberian northern pika, Ochotona hyperborea. Arctic, Antarctic, and Alpine Research, 38(1), 54-59."		1	Handbook of the mammals of the world		active_below_snow	Handbook of the mammals of the world	
Lagomorpha	Ochotonidae	Ochotona	turuchanensis	Ochotona turuchanensis	Eeva Soininen/Isabel Barrio	142.15	EltonTraits		hindgut_fermenter			solitary	Handbook of the mammals of the world		solitary	Handbook of the mammals of the world		3.4	IUCN redlist		noncyclic	Handbook of the mammals of the world		terrestrial	Handbook of the mammals of the world		none	IUCN redlist		no	Handbook of the mammals of the world		none			facultative_generalist	expert (1)	assumed based on closely related O. hyperborea	2	expert (1)	assumed based on closely related O. hyperborea	1	expert (1)	assumed based on closely related O. hyperborea	2	expert (1)	assumed based on closely related O. hyperborea	0	expert (1)	assumed based on closely related O. hyperborea	1	Handbook of the mammals of the world		active_below_snow		
